"task_id","sprint","level","phase","workstream","lane","pool","priority","type","launch_wave","p0_shortest_path","status","depends_on","risk_ids","verify_for_risks","owner_agent","evidence_link","notes"
"NGA-WS23-001","S8","L8","M8","WS23","Lane-BS","POOL-PH3-BS","P0","feature","G0","yes","done","","","","AG-PH3-BS-01","scripts/run_brainstem_supervisor_ws23_001.py; tests/test_brainstem_supervisor_entry_ws23_001.py","brainstem supervisor bootstrap delivered"
"NGA-WS23-002","S8","L8","M8","WS23","Lane-BS","POOL-PH3-BS","P0","hardening","G1","yes","done","NGA-WS23-001","","","AG-PH3-BS-01","agents/pipeline.py; tests/test_run_watchdog_daemon_ws28_025.py","watchdog gate bridge delivered"
"NGA-WS23-003","S8","L8","M8","WS23","Lane-BS","POOL-PH3-BS","P0","hardening","G0","yes","done","","","","AG-PH3-BS-01","doc/task/implementation/NGA-WS23-003-implementation.md; scripts/validate_immutable_dna_gate_ws23_003.py","dna release gate delivered"
"NGA-WS23-004","S8","L8","M8","WS23","Lane-BS","POOL-PH3-BS","P0","hardening","G0","yes","done","","","","AG-PH3-BS-01","scripts/export_killswitch_oob_bundle_ws23_004.py; tests/test_export_killswitch_oob_bundle_ws23_004.py","killswitch oob bundle delivered"
"NGA-WS23-005","S8","L8","M8","WS23","Lane-EVT","POOL-PH3-EVT","P1","feature","G1","no","done","NGA-WS23-001","","","AG-PH3-EVT-01","doc/task/implementation/NGA-WS23-005-implementation.md; system/brainstem_event_bridge.py","outbox to brainstem bridge delivered"
"NGA-WS23-006","S8","L8","M8","WS23","Lane-REL","POOL-PH3-REL","P1","qa","G2","no","done","NGA-WS23-002;NGA-WS23-003;NGA-WS23-004;NGA-WS23-005","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS23-006-implementation.md; scripts/release_closure_chain_m8_ws23_006.py","m8 closure chain delivered"
"NGA-WS24-001","S9","L9","M9","WS24","Lane-PLG","POOL-PH3-PLG","P0","feature","G2","yes","done","NGA-WS23-006","","","AG-PH3-PLG-01","doc/task/implementation/NGA-WS24-001-implementation.md; tests/test_mcp_plugin_isolation_ws24_001.py","isolated plugin worker delivered"
"NGA-WS24-002","S9","L9","M9","WS24","Lane-PLG","POOL-PH3-PLG","P0","hardening","G3","yes","done","NGA-WS24-001","","","AG-PH3-PLG-01","doc/task/implementation/NGA-WS24-002-implementation.md; mcpserver/plugin_manifest_policy.py","plugin manifest guard delivered"
"NGA-WS24-003","S9","L9","M9","WS24","Lane-PLG","POOL-PH3-PLG","P0","hardening","G3","yes","done","NGA-WS24-001","","","AG-PH3-PLG-01","doc/task/implementation/NGA-WS24-003-implementation.md; mcpserver/plugin_worker_runtime.py","plugin resource guard delivered"
"NGA-WS24-004","S9","L9","M9","WS24","Lane-BS","POOL-PH3-BS","P1","hardening","G3","no","done","NGA-WS24-001","","","AG-PH3-BS-01","doc/task/implementation/NGA-WS24-004-implementation.md; system/process_lineage.py","worker lifecycle and zombie reap delivered"
"NGA-WS24-005","S9","L9","M9","WS24","Lane-OBS","POOL-PH3-OBS","P1","qa","G3","no","done","NGA-WS24-002;NGA-WS24-003;NGA-WS24-004","","","AG-PH3-OBS-01","doc/task/implementation/NGA-WS24-005-implementation.md; scripts/run_plugin_isolation_chaos_suite_ws24_005.py","plugin chaos suite delivered"
"NGA-WS24-006","S9","L9","M9","WS24","Lane-REL","POOL-PH3-REL","P1","qa","G4","no","done","NGA-WS24-005","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS24-006-implementation.md; scripts/validate_m9_closure_gate_ws24_006.py","m9 closure gate delivered"
"NGA-WS25-001","S10","L10","M10","WS25","Lane-EVT","POOL-PH3-EVT","P0","feature","G4","yes","done","NGA-WS24-006","","","AG-PH3-EVT-01","doc/task/implementation/NGA-WS25-001-implementation.md; core/event_bus/topic_bus.py","topic event bus delivered"
"NGA-WS25-002","S10","L10","M10","WS25","Lane-EVT","POOL-PH3-EVT","P1","feature","G5","no","done","NGA-WS25-001","","","AG-PH3-EVT-01","doc/task/implementation/NGA-WS25-002-implementation.md; autonomous/event_log/cron_alert_producer.py [archived]","cron and alert producers delivered"
"NGA-WS25-003","S10","L10","M10","WS25","Lane-EVT","POOL-PH3-EVT","P0","hardening","G5","yes","done","NGA-WS25-001","","","AG-PH3-EVT-01","doc/task/implementation/NGA-WS25-003-implementation.md; tests/test_event_store_db_partition_ws29_005.py","replay idempotency delivered"
